,Codes,Names,ver
244,46.73.1,Торговля оптовая древесным сырьем и необработанными лесоматериалами,
245,46.73.2,Торговля оптовая пиломатериалами,
246,46.73.3,Торговля оптовая санитарно-техническим оборудованием,
247,46.73.4,Торговля оптовая лакокрасочными материалами,
248,46.73.5,Торговля оптовая листовым стеклом,
249,46.73.7,Торговля оптовая обоями,
250,46.73.8,Торговля оптовая напольными покрытиями (кроме ковров),
251,46.63,Торговля оптовая машинами и оборудованием для добычи полезных ископаемых и строительства,
252,46.74.2,Торговля оптовая водопроводным и отопительным оборудованием и санитарно-технической арматурой,
253,47.52.1,Торговля розничная скобяными изделиями в специализированных магазинах,
254,47.52.2,Торговля розничная лакокрасочными материалами в специализированных магазинах,
255,47.52.4,Торговля розничная материалами и оборудованием для изготовления поделок в специализированных магазинах,
256,47.52.5,Торговля розничная санитарно-техническим оборудованием в специализированных магазинах,
257,49.20,Деятельность железнодорожного транспорта: грузовые перевозки,
258,49.41,Деятельность автомобильного грузового транспорта,
259,49.41.2,Перевозка грузов неспециализированными автотранспортными средствами,
260,52.10.2,Хранение и складирование жидких или газообразных грузов,
261,52.10.21,Хранение и складирование нефти и продуктов ее переработки,
262,52.10.22,Хранение и складирование газа и продуктов его переработки,
263,52.10.9,Хранение и складирование прочих грузов,
264,71.12,"Деятельность в области инженерных изысканий, инженерно-технического проектирования, управления проектами строительства, выполнения строительного контроля и авторского надзора, предоставление технических консультаций в этих областях",
265,77.11,Аренда и лизинг легковых автомобилей и легких автотранспортных средств,
266,77.32,Аренда и лизинг строительных машин и оборудования,
267,77.33,"Аренда и лизинг офисных машин и оборудования, включая вычислительную технику",
268,77.39.1,Аренда и лизинг прочих сухопутных транспортных средств и оборудования,
269,77.39.2,"Аренда и лизинг прочих машин и оборудования, не включенных в другие группировки",
270,42.91,Строительство водных сооружений,
271,55.30,"Деятельность по предоставлению мест для временного проживания в кемпингах, жилых автофургонах и туристических автоприцепах",
272,81.29,Деятельность по чистке и уборке прочая,
273,46.11,"Деятельность агентов по оптовой торговле сельскохозяйственным сырьем, живыми животными, текстильным сырьем и полуфабрикатами",
274,10.42,Производство маргариновой продукции,
275,49.41.3,Аренда грузового автомобильного транспорта с водителем,
276,52.10.4,Хранение ядерных материалов и радиоактивных веществ,
277,43.99.7,Работы по сборке и монтажу сборных конструкций,
278,45.20.2,Техническое обслуживание и ремонт прочих автотранспортных средств,
279,46.73,"Торговля оптовая лесоматериалами, строительными материалами и санитарно-техническим оборудованием",
280,47.52.6,Торговля розничная садово-огородной техникой и инвентарем в специализированных магазинах,
281,64.20,Деятельность холдинговых компаний,
282,66.11,Управление финансовыми рынками,
283,71.11.1,"Деятельность в области архитектуры, связанная с созданием архитектурного объекта",
284,71.12.45,Инженерные изыскания в строительстве,
285,46.18.1,"Деятельность агентов, специализирующихся на оптовой торговле фармацевтической продукцией, изделиями, применяемыми в медицинских целях, парфюмерными и косметическими товарами, включая мыло, и чистящими средствами",
286,46.44.2,Торговля оптовая чистящими средствами,
287,46.45,Торговля оптовая парфюмерными и косметическими товарами,
288,46.46,Торговля оптовая фармацевтической продукцией,
289,46.46.2,"Торговля оптовая изделиями, применяемыми в медицинских целях",
290,72.19,Научные исследования и разработки в области естественных и технических наук прочие,
291,79.12,Деятельность туроператоров,
292,82.30,Деятельность по организации конференций и выставок,
293,85.21,Образование профессиональное среднее,
294,85.41,Образование дополнительное детей и взрослых,
295,85.41.9,"Образование дополнительное детей и взрослых прочее, не включенное в другие группировки",
296,86.10,Деятельность больничных организаций,
297,86.22,Специальная врачебная практика,
298,86.23,Стоматологическая практика,
299,86.90,Деятельность в области медицины прочая,
300,68.10.11,Подготовка к продаже собственного жилого недвижимого имущества,
301,68.10.12,Подготовка к продаже собственного нежилого недвижимого имущества,
302,68.10.21,Покупка и продажа собственного жилого недвижимого имущества,
303,68.10.22,Покупка и продажа собственных нежилых зданий и помещений,
304,68.10.23,Покупка и продажа земельных участков,
305,68.31.5,Предоставление посреднических услуг при оценке недвижимого имущества за вознаграждение или на договорной основе,
306,69.20.1,Деятельность по проведению финансового аудита,
307,69.20.2,Деятельность по оказанию услуг в области бухгалтерского учета,
308,70.10.1,Деятельность по управлению финансово-промышленными группами,
309,70.10.2,Деятельность по управлению холдинг-компаниями,
310,73.20.1,Исследование конъюнктуры рынка,
311,73.20.2,Деятельность по изучению общественного мнения,
312,74.30,Деятельность по письменному и устному переводу,
313,78.20,Деятельность агентств по временному трудоустройству,
314,78.30,Деятельность по подбору персонала прочая,
315,80.10,Деятельность частных охранных служб,
316,80.20,Деятельность систем обеспечения безопасности,
317,80.30,Деятельность по расследованию,
318,82.19,Деятельность по фотокопированию и подготовке документов и прочая специализированная вспомогательная деятельность по обеспечению деятельности офиса,
319,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",
320,01.13.12,Выращивание овощей защищенного грунта,
321,01.15,Выращивание табака и махорки,
322,01.19.2,Цветоводство,
323,01.19.21,Выращивание цветов в открытом и защищенном грунте,
324,01.27,Выращивание культур для производства напитков,
325,01.27.1,Выращивание чая,
326,01.30,Выращивание рассады,
327,01.41,"Разведение молочного крупного рогатого скота, производство сырого молока",
328,01.47,Разведение сельскохозяйственной птицы,
329,01.49,Разведение прочих животных,
330,01.49.1,Пчеловодство,
331,12.00,Производство табачных изделий,
332,10.52,Производство мороженого,
333,12.00.1,"Производство изделий из табака и махорки: сигарет, папирос, сигар, сигарилл, курительного тонкорезаного табака, трубочного табака, жевательного табака, сосательного табака, нюхательного табака, табака для кальяна, курительной и нюхательной махорки",
334,12.00.3,Стрипсование (удаление главной жилки) и редраинг-обработка табака,
335,17.11,Производство целлюлозы и древесной массы,
336,17.21,"Производство гофрированной бумаги и картона, бумажной и картонной тары",
337,17.29,Производство прочих изделий из бумаги и картона,
