,Codes,Names,ver
3672,84.11.32,Деятельность органов местного самоуправления городских округов,
3673,10.91.2,Производство муки грубого помола и гранул из люцерны,
3674,64.99.7,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",
3675,64.99.9,Деятельность жилищных накопительных кооперативов,
3676,52.23.2,"Деятельность вспомогательная, связанная с космическим транспортом",
3677,29.32,Производство прочих машин и оборудования для сельского и лесного  хозяйства,
3678,20.51.2,Производство деревянных столовых и кухонных принадлежностей,
3679,01.27.9,Выращивание прочих культур для производства напитков,
3680,01.43.2,Производство сырого кобыльего молока,
3681,01.43.3,Производство спермы жеребцов и ослов,
3682,10.20.4,"Производство муки грубого помола и растворимых компонентов из рыбы и прочих водных животных, непригодных для потребления человеком",
3683,71.40.5,Прокат музыкальных инструментов,
3684,01.25.6,Разведение домашних животных,
3685,51.47.35,"Оптовая торговля спортивными товарами, включая велосипеды",
3686,20.20.21,Производство шпона и листов для клееной фанеры,
3687,77.1,Аренда и лизинг автотранспортных средств,
3688,51.55.12,Оптовая торговля пестицидами и другими агрохимикатами,
3689,32.12.7,Обработка янтаря и производство изделий из янтаря,
3690,13.20.1,"Производство тканей (без специальных тканей) из натуральных волокон, кроме хлопка",
3691,13.20.13,Производство льняных тканей,
3692,13.20.14,Производство тканей из джутовых и прочих лубяных текстильных волокон,
3693,13.20.19,Производство ткани из прочих растительных текстильных волокон; ткани из бумажной пряжи,
3694,13.20.6,Производство арамидных нитей и волокна,
3695,26.60.4,"Производство инструмента, оборудования и приспособлений, применяемых в медицинских целях",
3696,28.25.11,Производство теплообменных устройств и машин для сжижения воздуха или прочих газов,
3697,51.12.21,Деятельность агентов по оптовой торговле рудами,
3698,51.12.31,"Деятельность агентов по оптовой торговле непищевым этиловым спиртом,  включая денатурат",
3699,51.12.32,"Деятельность агентов по оптовой торговле удобрениями, пестицидами и  прочими агрохимикатами",
3700,51.12.35,Деятельность агентов по оптовой торговле синтетическим каучуком и  резиной в первичных формах,
3701,51.12.36,Деятельность агентов по оптовой торговле взрывчатыми веществами,
3702,51.14.3,Деятельность агентов по оптовой торговле судами и летательными  аппаратами,
3703,51.17.23,Деятельность агентов по оптовой торговле пивом,
3704,51.38.28,Оптовая торговля солью,
3705,51.55.31,"Оптовая торговля непищевым этиловым спиртом, включая денатурат",
3706,52.48.36,Розничная торговля филателистическими и нумизматическими товарами,
3707,28.11.23,"Производство газовых турбин, кроме турбореактивных и турбовинтовых",
3708,06.20.1,Добыча природного газа,
3709,06.20.2,Добыча газового конденсата,
3710,99.0,Деятельность экстерриториальных организаций,
3711,66.02.1,Деятельность по негосударственному пенсионному обеспечению,
3712,31.20.1,"Производство электрической распределительной и регулирующей аппаратуры, кроме ремонта",
3713,40.10.12,Производство электроэнергии гидроэлектростанциями,
3714,30.30.2,"Производство аэростатов, дирижаблей, планеров, дельтапланов и прочих безмоторных летательных аппаратов",
3715,52,"РОЗНИЧНАЯ ТОРГОВЛЯ, КРОМЕ ТОРГОВЛИ АВТОТРАНСПОРТНЫМИ  СРЕДСТВАМИ И МОТОЦИКЛАМИ; РЕМОНТ БЫТОВЫХ ИЗДЕЛИЙ И ПРЕДМЕТОВ  ЛИЧНОГО ПОЛЬЗОВАНИЯ",
3716,60.30.12,Транспортирование по трубопроводам нефтепродуктов,
3717,15,"ПРОИЗВОДСТВО ПИЩЕВЫХ ПРОДУКТОВ, ВКЛЮЧАЯ НАПИТКИ",
3718,45,СТРОИТЕЛЬСТВО,
3719,50,"ТОРГОВЛЯ АВТОТРАНСПОРТНЫМИ СРЕДСТВАМИ И МОТОЦИКЛАМИ, ИХ  ТЕХНИЧЕСКОЕ ОБСЛУЖИВАНИЕ И РЕМОНТ",
3720,51,"ОПТОВАЯ ТОРГОВЛЯ, ВКЛЮЧАЯ ТОРГОВЛЮ ЧЕРЕЗ АГЕНТОВ, КРОМЕ  ТОРГОВЛИ АВТОТРАНСПОРТНЫМИ СРЕДСТВАМИ И МОТОЦИКЛАМИ",
3721,71,АРЕНДА МАШИН И ОБОРУДОВАНИЯ БЕЗ ОПЕРАТОРА; ПРОКАТ БЫТОВЫХ  ИЗДЕЛИЙ И ПРЕДМЕТОВ ЛИЧНОГО ПОЛЬЗОВАНИЯ,
3722,72,"ДЕЯТЕЛЬНОСТЬ, СВЯЗАННАЯ С ИСПОЛЬЗОВАНИЕМ ВЫЧИСЛИТЕЛЬНОЙ  ТЕХНИКИ И ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ",
3723,92,"ДЕЯТЕЛЬНОСТЬ ПО ОРГАНИЗАЦИИ ОТДЫХА И РАЗВЛЕЧЕНИЙ, КУЛЬТУРЫ И  СПОРТА",
3724,25.11,"Производство резиновых шин, покрышек и камер",
3725,25.30.21,"Производство ядерных установок, кроме устройств для разделения изотопов",
3726,25.30.22,"Производство частей ядерных установок, кроме устройств для разделения изотопов",
3727,16.29.3,"Изготовление изделий из дерева, пробки, соломки и материалов для плетения, корзиночных и плетеных изделий по индивидуальному заказу населения",
3728,52.23.1,"Деятельность вспомогательная, связанная с воздушным транспортом",
3729,03.12.4,"Рыболовство в целях обеспечения ведения традиционного образа жизни и осуществления традиционной хозяйственной деятельности коренных малочисленных народов Севера, Сибири и Дальнего Востока Российской Федерации",
3730,32.99.8,Производство изделий народных художественных промыслов,
3731,15.89.3,Производство пищевых ферментов,
3732,24.51.2,"Производство органических поверхностно-активных веществ, кроме мыла",
3733,24.63,Производство эфирных масел,
3734,32.12.6,Изготовление ювелирных изделий и аналогичных изделий по индивидуальному заказу населения,
3735,32.13.1,"Производство бижутерии и подобных товаров, кроме изготовленных по индивидуальному заказу",
3736,32.13.2,Изготовление бижутерии и подобных товаров по индивидуальному заказу населения,
3737,28,ПРОИЗВОДСТВО ГОТОВЫХ МЕТАЛЛИЧЕСКИХ ИЗДЕЛИЙ,
3738,60,ДЕЯТЕЛЬНОСТЬ СУХОПУТНОГО ТРАНСПОРТА,
3739,10.3,Добыча и агломерация торфа,
3740,12.0,Добыча урановой и ториевой руд,
3741,13.1,Добыча железных руд,
3742,13.2,"Добыча руд цветных металлов, кроме урановой и ториевой руд",
3743,14.3,Добыча минерального сырья для химических производств и производства  удобрений,
3744,14.4,Добыча и производство соли,
3745,23.1,Производство кокса,
3746,23.3,Производство ядерных материалов,
3747,24.2,Производство химических средств защиты растений (пестицидов) и прочих  агрохимических продуктов,
3748,24.3,Производство красок и лаков,
3749,24.7,Производство искусственных и синтетических волокон,
3750,29.6,Производство оружия и боеприпасов,
3751,35.4,Производство мотоциклов и велосипедов,
3752,36.3,Производство музыкальных инструментов,
3753,36.4,Производство спортивных товаров,
3754,61.1,Деятельность морского транспорта,
3755,62.1,"Деятельность воздушного транспорта, подчиняющегося расписанию",
3756,62.2,"Деятельность воздушного транспорта, не подчиняющегося расписанию",
3757,62.3,Деятельность космического транспорта,
3758,16.00,Производство табачных изделий,
3759,33.40,"Производство оптических приборов, фото- и кинооборудования",
3760,22.32,Копирование видеозаписей,
3761,26.23,Производство керамических электроизоляторов и изолирующей арматуры,
3762,26.20.3,Производство запоминающих устройств и прочих устройств хранения данных,
3763,26.20.4,"Производство средств защиты информации, а также информационных и телекоммуникационных систем, защищенных с использованием средств защиты информации",
3764,28.15.1,Производство шариковых и роликовых подшипников,
3765,26.60.6,Производство компьютерных томографов,
3766,12,Производство табачных изделий,
3767,28.99.3,"Производство пусковых устройств для воздушных судов, катапультирующих устройств для воздушных судов и т. п. оборудования",
3768,61.10.31,Аренда морских транспортных средств с экипажем,
3769,30.30.13,Производство реактивных двигателей и их частей,
3770,30.30.14,Производство наземных тренажеров для летного состава и их частей,
3771,30.30.4,"Производство космических аппаратов (в том числе спутников), ракет-носителей",
3772,30.30.42,"Производство пилотируемых и беспилотных космических кораблей и станций, включая орбитальные, межпланетные, многоразового использования",
3773,27.12,Производство продуктов прямого восстановления железной руды,
3774,27.13,"Производство ферросплавов, кроме доменных",
3775,27.16,Производство стального проката горячекатаного и кованого,
3776,27.16.1,Производство стального сортового проката горячекатаного и кованого,
3777,27.16.2,Производство стального горячекатаного листового (плоского) проката,
3778,27.17,Производство холоднокатаного плоского проката без защитных покрытий и с  защитными покрытиями,
3779,27.21,Производство чугунных труб и литых фитингов,
3780,27.35,"Производство железных порошков, прочей металлопродукции из стального  проката, не включенной в другие группировки",
3781,28.40.2,Предоставление услуг по производству изделий методом порошковой  металлургии,
3782,10.62.3,Производство рафинированного кукурузного масла и его фракций,
3783,32.20.2,Производство электрической аппаратуры для проводной телефонной или  телеграфной связи,
3784,13.20.4,Добыча руд и песков драгоценных металлов и руд редких металлов,
3785,13.20.41,"Добыча руд и песков драгоценных металлов (золота, серебра и металлов  платиновой группы)",
3786,36.21,Чеканка монет и медалей,
3787,15.33.2,Переработка и консервирование фруктов и орехов,
3788,24.66.3,"Производство смазочных материалов, присадок к смазочным материалам и  антифризов",
3789,01.25.82,Разведение дождевых (калифорнийских) червей,
3790,37.20.5,Обработка отходов бумаги и картона,
3791,35.30.3,"Производство вертолетов, самолетов и прочих летательных аппаратов",
3792,28.22.5,"Производство автопогрузчиков и тягачей, используемых на железнодорожных платформах",
3793,27.32.1,Производство кабелей для телефонной связи,
3794,26.20.1,Производство компьютеров,
3795,26.30.18,Производство телевизионных камер,
3796,26.30.2,"Производство оконечного (пользовательского) оборудования телефонной или телеграфной связи, аппаратуры видеосвязи",
3797,26.30.22,Производство телефонных аппаратов для работы в сотовых или иных беспроводных сетях связи,
3798,26.30.29,"Производство прочих телефонных аппаратов, устройств и аппаратуры для передачи и приема речи, изображений или других данных, включая оборудование коммуникационное для работы в проводных или беспроводных сетях связи (например, локальных и глобальных сетях)",
3799,27.51.1,Производство стиральных машин,
3800,27.51.3,Производство пылесосов,
3801,27.51.4,Производство посудомоечных машин,
3802,27.51.6,Производство микроволновых печей,
3803,28.29.2,"Производство оборудования для мойки, заполнения, закупоривания или упаковывания бутылок или прочих емкостей, огнетушителей, распылителей, пароструйных или пескоструйных машин, прокладок",
3804,28.29.4,"Производство центрифуг, каландров и торговых автоматов",
3805,28.30.1,"Производство тракторов, управляемых рядом идущим водителем",
3806,28.49.1,"Производство станков для обработки камня, дерева и аналогичных твердых материалов",
3807,28.49.2,Производство оборудования для нанесения гальванического покрытия,
3808,28.92.1,Производство оборудования для добычи полезных ископаемых подземным способом,
3809,28.92.2,"Производство прочих машин для перемещения, грейдерных работ, планирования, скреперных работ, выемки, трамбовки, уплотнения или добычи, самоходных, для грунта, минералов или руд",
3810,28.92.3,Производство прочих машин для выемки грунта,
3811,28.92.4,"Производство машин для сортировки, дробления, смешивания и аналогичной обработки грунта, камня, руды и прочих минеральных веществ",
3812,28.92.5,Производство гусеничных тракторов,
3813,10.41.4,Производство жмыха и муки тонкого и грубого помола из семян или плодов масличных культур,
3814,29.12.2,Производство насосов для перекачки жидкостей и подъемников  жидкостей,
3815,15.96,Производство пива,
3816,75.11,Государственное управление общего характера,
3817,33.20.4,Производство приборов для измерения электрических величин и  ионизирующих излучений,
3818,33.20.7,Производство приборов и аппаратуры для автоматического регулирования  или управления (центров или пультов автоматического управления),
3819,25.13.2,"Производство невулканизированного каучука и изделий из него;  производство резины в виде нити, корда, пластин, листов, полос, стержней и  профилей",
3820,29.22.3,Производство оборудования непрерывного транспорта,
3821,50.10.11,"Перевозка пассажиров морскими судами заграничного плавания, подчиняющимися расписанию",
3822,50.10.12,"Перевозка пассажиров морскими судами заграничного плавания, не подчиняющимися расписанию",
3823,50.10.21,"Перевозка пассажиров морскими судами каботажного плавания, подчиняющимися расписанию",
3824,51.22.1,Перевозка пассажиров космическим транспортом,
3825,52.23.13,Выполнение авиационных работ,
3826,05,Добыча угля,
3827,06,Добыча сырой нефти и природного газа,
3828,07,Добыча металлических руд,
3829,08,Добыча прочих полезных ископаемых,
3830,10,Производство пищевых продуктов,
3831,71.31.1,"Аренда сельскохозяйственных машин, оборудования и племенных животных",
3832,75.13,"Регулирование и содействие эффективному ведению экономической  деятельности, деятельность в области региональной, национальной и молодежной  политики",
3833,75.22,"Деятельность, связанная с обеспечением военной безопасности",
3834,29.31,Производство колесных тракторов,
3835,64.11.1,Деятельность почтовой связи общего пользования,
3836,80.3,Высшее профессиональное образование,
3837,26.60.2,"Производство гемодиализного, диатермического, наркозного оборудования, применяемого в медицинских целях",
3838,26.60.3,Производство оборудования для переливания крови,
3839,26.60.7,"Производство ультразвукового оборудования, применяемого в медицинских целях",
3840,40.30.12,Производство пара и горячей воды (тепловой энергии) атомными  электростанциями,
3841,30.92.3,Производство частей и принадлежности велосипедов и инвалидных колясок,
3842,29.11,"Производство двигателей и турбин, кроме авиационных, автомобильных и  мотоциклетных двигателей",
3843,24.30.2,"Производство прочих красок, лаков, эмалей и связанных с ними продуктов",
3844,10.89.2,"Производство скоропортящихся продуктов, таких как: сэндвичи и свежая пицца (полуфабрикат)",
3845,75.11.23,"Деятельность органов государственной власти субъектов Российской  Федерации, осуществляющих свои полномочия в сельских населенных пунктах",
3846,37.10.22,Обработка отходов и лома драгоценных металлов,
3847,15.94,Производство сидра и прочих плодово-ягодных вин,
3848,49.31.12,Перевозка пассажиров железнодорожным транспортом в пригородном сообщении в нерегулируемом секторе,
3849,85.22.2,Образование высшее - специалитет,
3850,27.11.11,Производство электродвигателей,
3851,66.03.1,Дополнительное медицинское страхование,
3852,65.22.5,Предоставление услуг по обеспечению кредитных карточек,
3853,20.20.2,"Производство шпона, листов для клееной фанеры и модифицированной  древесины",
3854,52.50.2,Розничная торговля букинистическими книгами,
3855,55.23.4,Предоставление мест для временного проживания в железнодорожных  спальных вагонах и прочих транспортных средствах,
3856,60.21.21,Деятельность трамвайного транспорта,
3857,60.21.22,Деятельность троллейбусного транспорта,
3858,60.21.23,Деятельность метрополитена,
3859,60.21.3,"Пассажирские перевозки фуникулерами, воздушными канатными дорогами  и подъемниками",
3860,65.11.1,Разработка и проведение единой государственной денежно-кредитной  политики,
3861,65.11.11,Регулирование налично-денежного обращения,
3862,65.11.12,Организация системы рефинансирования,
3863,65.11.9,Прочая деятельность Центрального банка Российской Федерации,
3864,17.54.2,Производство фетра и войлока,
3865,26.15.5,"Производство лабораторных, фармацевтических и гигиенических изделий  из стекла; производство ампул и прочих изделий из стекла медицинского  назначения",
3866,24.43.1,Производство свинца,
3867,24.43.2,Производство цинка,
3868,24.43.3,Производство олова,
3869,24.45.1,Производство никеля,
3870,24.45.3,Производство магния,
3871,24.45.4,Производство вольфрама,
3872,24.45.5,Производство молибдена,
3873,24.45.9,"Производство редких (тантал, ниобий, галлий, германий, иридий) и редкоземельных металлов",
3874,24.17,Производство синтетического каучука,
3875,24.20,Производство химических средств защиты растений (пестицидов) и прочих  агрохимических продуктов,
3876,24.30,Производство красок и лаков,
3877,24.62,Производство клеев и желатина,
3878,24.70,Производство искусственных и синтетических волокон,
3879,28.30,"Производство паровых котлов, кроме котлов центрального отопления;  производство ядерных реакторов",
3880,31.30,Производство изолированных проводов и кабелей,
3881,31.40,"Производство химических источников тока (аккумуляторов, первичных  элементов и батарей из них)",
3882,26.70.3,Производство гранул и порошков из природного камня,
3883,75.11.31,"Деятельность органов местного самоуправления районов, городов,  внутригородских районов",
3884,71.34.2,Аренда горного и нефтепромыслового оборудования,
3885,68,Операции с недвижимым имуществом,
3886,93,"Деятельность в области спорта, отдыха и развлечений",
3887,60.30.1,Транспортирование по трубопроводам нефти и нефтепродуктов,
3888,24.10.11,Производство чугуна,
3889,23.52.3,Производство кальцинированного доломита,
3890,75.11.5,Управление деятельностью в области прогнозирования и планирования,
3891,75.11.7,Управление деятельностью в области статистики и социологии,
3892,75.3,Деятельность в области обязательного социального обеспечения,
3893,73,НАУЧНЫЕ ИССЛЕДОВАНИЯ И РАЗРАБОТКИ,
3894,18.24.31,Производство аксессуаров одежды из натуральной или композиционной  кожи,
3895,50,Деятельность водного транспорта,
3896,19.20,"Производство чемоданов, сумок и аналогичных изделий из кожи и других  материалов; производство шорно-седельных и других изделий из кожи",
3897,67.13.2,Предоставление услуг пунктами по обмену валют,
3898,67.13.3,Предоставление услуг по упаковыванию денег,
3899,01.12.2,Декоративное садоводство и производство продукции питомников,
3900,74.20.5,Деятельность в области гидрометеорологии и смежных с ней областях,
3901,74.20.53,Работы по активному воздействию на гидрометеорологические и  геофизические процессы и явления,
3902,30.20.2,"Производство моторных железнодорожных, трамвайных вагонов и вагонов метро, автодрезин, кроме транспортных средств для ремонта и технического обслуживания железнодорожных и трамвайных путей",
3903,30.30.31,Производство вертолетов,
3904,30.30.32,Производство самолетов,
3905,28.92.28,Производство отвалов бульдозеров,
3906,13.96.4,"Производство текстильных материалов, пропитанных или с покрытием",
3907,20.60.1,Производство синтетических волокон,
3908,20.60.2,Производство искусственных волокон,
3909,74.60.1,Оценка уязвимости объектов транспортной инфраструктуры и транспортных средств от актов незаконного вмешательства,
3910,50.10.31,Аренда морских судов заграничного плавания для перевозки пассажиров с экипажем,
3911,50.10.32,Аренда морских судов каботажного плавания для перевозки пассажиров с экипажем,
3912,50.10.39,Аренда прочих морских судов для перевозки пассажиров с экипажем,
3913,36.22,Производство ювелирных изделий и технических изделий из драгоценных  металлов и драгоценных камней,
3914,32.10.51,"Производство полупроводниковых элементов, приборов, включая  фоточувствительные и оптоэлектронные",
3915,91.04.1,Деятельность зоопарков,
3916,52.22.28,Деятельность ледокольного флота на внутреннем водном транспорте,
3917,28.12.2,Производство гидравлических насосов,
3918,12.00.2,Производство гомогенизированного или восстановленного табака,
3919,01.41.29,"Производство сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",
3920,10.86.1,Производство молока и молочных продуктов для детского питания,
3921,23,Производство прочей неметаллической минеральной продукции,
3922,10.86.11,Производство молока и молочных продуктов для детей раннего возраста,
3923,10.86.12,Производство молока и молочных продуктов для детей дошкольного и школьного возраста,
3924,50.20.41,Буксировка судами заграничного и каботажного плавания,
3925,28.30.21,Производство колесных тракторов для сельского хозяйства,
3926,28.30.22,Производство гусеничных тракторов для сельского хозяйства,
3927,91.04.6,Деятельность дендрологических парков и ботанических садов,
3928,10.86.4,Производство продуктов на злаковой основе для детского питания,
3929,01.11.32,Выращивание семян рапса,
3930,01.16.2,Выращивание льна,
3931,01.16.3,Выращивание обыкновенной конопли,
3932,74.20.44,Деятельность в области аккредитации,
3933,30.30.39,Производство прочих летательных аппаратов,
3934,74.90.7,Деятельность по подготовке метеорологических прогнозов,
3935,36.30,Производство музыкальных инструментов,
3936,36.61,Производство ювелирных изделий из недрагоценных материалов,
3937,36.62,Производство метел и щеток,
3938,10.10,"Добыча, обогащение и агломерация каменного угля",
3939,19.10,Дубление и отделка кожи,
3940,25.13.4,Производство конвейерных лент и приводных ремней из резины,
3941,25.13.5,"Производство прорезиненных текстильных материалов, кроме кордной  ткани",
3942,26.82.6,Производство минеральных тепло- и звукоизоляционных материалов и  изделий,
3943,27.32,Производство холоднокатаных узких полос и лент,
3944,29.40.2,Производство деревообрабатывающего оборудования,
3945,70,Деятельность головных офисов; консультирование по вопросам управления,
3946,71,"Деятельность в области архитектуры и инженерно-технического проектирования; технических испытаний, исследований и анализа",
3947,73,Деятельность рекламная и исследование конъюнктуры рынка,
3948,61.20.4,Деятельность по обеспечению лесосплава (без сплава в плотах судовой  тягой),
3949,84.23.13,Деятельность Верховных судов субъектов Российской Федерации,
3950,84.23.14,Деятельность районных судов,
3951,23.44.1,"Производство керамических изделий лабораторного, химического и промышленного назначения",
3952,10.41.3,Производство хлопкового линта,
3953,10.72.31,Производство печенья,
3954,10.72.32,Производство пряников и коврижек,
3955,10.72.35,"Производство кексов, рулетов и аналогичных изделий длительного хранения",
3956,52.22.13,"Деятельность по постановке судов к причалу, осуществление швартовых операций с судами в морских портах",
3957,28.75.26,Производство гребных винтов и их лопастей для судовых двигателей и  лодочных моторов,
3958,29.21.1,"Производство неэлектрических печей, горелок и устройств для них",
3959,29.40.4,"Производство оборудования для пайки, сварки и резки, машин и аппаратов  для поверхностной термообработки и газотермического напыления",
3960,29.40.5,Производство станков для обработки прочих материалов,
3961,29.54.4,"Производство составных частей и приспособлений машин для текстильной,  швейной и кожевенной промышленности",
3962,29.72,Производство бытовых неэлектрических приборов,
3963,15.11.2,"Производство щипаной шерсти, сырых шкур и кож крупного рогатого скота,  животных семейства лошадиных, овец, коз и свиней",
3964,67.11.13,Деятельность по обеспечению эффективности функционирования  финансовых рынков,
3965,21.24,Производство обоев,
3966,37.20.6,Обработка отходов драгоценных камней,
3967,15.92,Производство этилового спирта из сброженных материалов,
3968,25.13.7,"Производство изделий из резины, не включенных в другие группировки;  производство эбонита и изделий из него",
3969,52.46.74,Розничная торговля сборными деревянными строениями,
3970,26.82.4,"Производство искусственного графита, коллоидного или полуколлоидного  графита, продуктов на основе графита или прочих форм углерода в виде  полуфабрикатов",
3971,31.40.1,"Производство первичных элементов, батарей первичных элементов и их  частей",
3972,23.11.4,Производство листового матового стекла,
3973,31.40.2,"Производство электрических аккумуляторов, аккумуляторных батарей и их  частей",
3974,84.23.51,Деятельность центрального аппарата Следственного комитета Российской Федерации,
3975,72.19.12,Научные исследования и разработки в области ядерной оружейной продукции,
3976,05.10.21,Обогащение антрацита,
3977,05.10.22,Обогащение коксующегося угля,
3978,05.10.23,"Обогащение угля, кроме антрацита, угля коксующегося и угля бурого",
3979,10.72.33,Производство вафель,
3980,10.72.34,Производство галет и крекеров,
3981,10.10.1,Добыча каменного угля,
3982,64.11.14,Прочая деятельность почтовой связи,
3983,64.11.12,Деятельность по осуществлению почтовых переводов денежных средств,
3984,13.20.42,Производство хлопчатобумажных махровых полотенечных тканей,
3985,13.20.43,Производство прочих махровых полотенечных и аналогичных махровых тканей,
3986,01.16.1,Выращивание хлопчатника,
3987,01.16.9,Выращивание прочих текстильных культур,
3988,11.20,Предоставление услуг по добыче нефти и газа,
3989,13.20.45,Производство ворсовых тканей,
3990,01.49.43,"Разведение благородных оленей (европейских, кавказских, маралов, изюбрей)",
3991,84.11.22,Деятельность органов государственной власти субъектов Российской Федерации по осуществлению своих полномочий в городах и районах,
3992,15.88,Производство детского питания и диетических пищевых продуктов,
3993,18.24.11,Производство трикотажной одежды и аксессуаров одежды для  новорожденных детей,
3994,18.24.12,"Производство трикотажных спортивных костюмов, лыжных костюмов,  купальников и прочей трикотажной одежды",
3995,18.24.13,"Производство трикотажных перчаток, варежек и рукавиц",
3996,18.24.22,Производство спортивной одежды из тканей,
3997,18.24.32,"Производство одежды из фетра, нетканых материалов, из текстильных  материалов с пропиткой или покрытием",
3998,01.13.2,Выращивание прочих фруктов и орехов,
3999,28.75.24,"Производство статуэток, рам для фотографий, картин, зеркал и прочих декоративных изделий из недрагоценных металлов",
4000,27.20.21,Производство аккумуляторов для автомобилей,
4001,14.50.2,"Добыча драгоценных и полудрагоценных камней; добыча природных  абразивов, пемзы, асбеста, слюды, кварца и прочих неметаллических минералов, не  включенных в другие группировки",
4002,36.63.5,Производство изделий из волоса человека или животных; производство  аналогичных изделий из текстильных материалов,
4003,14.50.27,Добыча пьезокварца,
4004,14.50.28,Добыча гранулированного кварца,
4005,26.15.1,"Производство необработанного стекла в блоках, в виде шаров, стержней,  труб или трубок",
4006,32.20.1,Производство радио- и телевизионной передающей аппаратуры,
4007,32.20.3,"Производство частей теле- и радиопередающей аппаратуры, телефонной  или телеграфной электроаппаратуры",
4008,32.30.1,Производство радиоприемников,
4009,32.30.2,"Производство телевизионных приемников, включая видеомониторы и  видеопроекторы",
4010,32.30.3,Производство звукозаписывающей и звуковоспроизводящей аппаратуры и  аппаратуры для видеозаписи и видеовоспроизведения,
4011,32.30.4,"Производство микрофонов, громкоговорителей, наушников, приемной  аппаратуры для радиотелефонной или радиотелеграфной связи",
